Term,Definition,Context
TVA,Time Variance Authority,Bureaucratic org monitoring timelines
The Void,A trash heap at the end of time,Location
Anchor Being,A specific individual whose existence stabilizes a timeline,Plot Device
Time Ripper,Device used to accelerate the death of a timeline,Weapon
Prune,To send an individual/object to The Void,Action
Variant,An alternate version of a character from a different timeline,Identity
Sacred Timeline,The main MCU continuity (Earth-616),Setting
Madripoor,A lawless island nation,Location
Adamantium,Indestructible metal coating Wolverine's skeleton,Material
X-Force,Deadpool's team (mostly dead),Group
Maximum Effort,Deadpool's catchphrase before exertion,Catchphrase
Fourth Wall,The imaginary barrier between fiction and audience,Meta
Bub,Wolverine's catchphrase,Wolverine
Timeline,,TVA
