Term,Context,Vietnamese_Strategy,Consistency
TVA,Bureaucratic org monitoring timelines,TVA (Cơ quan Quản lý Phương sai),Always
The Void,Location,Hư Vô,Always
Anchor Being,Plot Device,Cá thể mỏ neo,Pick One & Stick
Time Ripper,Weapon,Máy xé thời gian,Always
Prune,Action,"Cắt tỉa (Jargon) / Xóa sổ (Colloquial)",Always
Variant,Identity,Biến thể,Always
Sacred Timeline,Setting,Dòng thời gian thiêng liêng,Always
Madripoor,Location,Madripoor,Always
Adamantium,Material,Adamantium,Always
X-Force,Group,X-Force,Always
Maximum Effort,Catchphrase,Nỗ lực tối đa / Chơi tới bến,Situational
Fourth Wall,Meta,Bức tường thứ tư,Always
Bub,Wolverine,Ông bạn / Nhóc,Situational
Timeline,TVA,Dòng thời gian,Always
