Term,Context,Vietnamese_Strategy,Consistency
Timeline,TVA,Dòng thời gian,Always
Variant,TVA,Biến thể,Always
Prune,TVA,Cắt tỉa (Jargon) / Xóa sổ (Colloquial),Always
Anchor Being,TVA,Cá thể mỏ neo,Pick One & Stick
Time Ripper,TVA,Máy xé thời gian,Always
The Void,Location,Hư Vô,Always
X-Force,Team,X-Force,Always
TVA,Org,TVA (Cơ quan Quản lý Phương sai),Always
Bub,Wolverine,Ông bạn / Nhóc,Situational
Maximum Effort,Catchphrase,Nỗ lực tối đa / Chơi tới bến,Situational
Fourth Wall,Meta,Bức tường thứ tư,Always
