Term,Category,Context,Vietnamese_Strategy
PWN,Slang,Dominate,Keep "PWN" (Note: Pronounced "Pone" / Pôn)
Noob,Slang,Inexperienced,Gà / Lính mới
Gank,Slang,Ambush,Gank / Bị úp sọt
Aggro,Mechanic,Attention,Aggro / Hút quái
Tank,Role,Damage Sponge,Tank / Đỡ đòn
DPS,Role,Damage Dealer,DPS / Sát thương chủ lực
Healer,Role,Support,Healer / Hồi máu
Buff,Mechanic,Positive,Buff / Bùa lợi
Debuff,Mechanic,Negative,Debuff / Bùa hại
Cooldown,Mechanic,Timer,Cooldown / Hồi chiêu
Grind,Mechanic,Repetitive,Cày cuốc
Farm,Mechanic,Gathering,Farm / Cày đồ
Drop Rate,Mechanic,Chance,Tỷ lệ rớt đồ
Vendor Trash,Slang,Useless,Rác
Wipe,Slang,Death,Wipe / Chết sạch
Credit Card Player,Slang,Pay-to-Win,Đô-la Thần Chưởng
Soc / Socs,Slang,Social Gamer,Dân Soc (Social)
Rper,Slang,Role-player,Dân RP
Toxic Muffins,Faction,Guild,Toxic Muffins (Bánh Muffin Độc)
Elechopper,Item,Mount,Elechopper (Mô-tô Nguyên Tố)
Exsanguinator,Item,Sword,Huyết Kiếm
Lightning's Bite,Item,Staff,Lôi Nha
Cupcake Keep,Location,Hall,Pháo đài Cupcake
Dragonswood Keep,Location,Fortress,Pháo đài Dragonswood
Dragonsbane,Quest,Title,Đồ Long
Hotfix,System,Update,Hotfix / Bản vá nóng
Macro,System,Command,Macro / Lệnh tự động
VT,System,Tablet,VT / Máy tính bảng ảo
Keep,Location,Building,Pháo đài
Challenge,System,Rank/Difficulty,Độ khó / Hạng
Face the music,Idiom,Consequence,Đối mặt với thực tại
